"","precio","superficie","distrito","fecha","ciudad","tipo"
"244",220000,59,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"245",60000,27,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"246",3e+06,1750,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"247",615000,524,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"248",147000,190,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"249",845086,244,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"250",95000,178,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"251",580000,280,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"252",149000,297,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"253",70700,107,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"254",55000,47,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"255",285000,156,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"256",123350,87,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"257",99000,25,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"258",6e+05,1132,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"259",99000,65,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"260",14999,25,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"261",125700,160,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"262",122000,65,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"263",845086,186,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"264",75300,56,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"265",325000,100,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"266",76000,150,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"267",280000,420,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"268",350000,136,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"269",47000,36,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"270",141750,132,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"271",440000,155,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
